title,genres,year,imdbId
Toy Story,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",1995,114709
Jumanji,"['Adventure', 'Children', 'Fantasy']",1995,113497
Grumpier Old Men,"['Comedy', 'Romance']",1995,113228
Waiting to Exhale,"['Comedy', 'Drama', 'Romance']",1995,114885
Father of the Bride Part II,['Comedy'],1995,113041
Heat,"['Action', 'Crime', 'Thriller']",1995,113277
Sabrina,"['Comedy', 'Romance']",1995,114319
Tom and Huck,"['Adventure', 'Children']",1995,112302
Sudden Death,['Action'],1995,114576
GoldenEye,"['Action', 'Adventure', 'Thriller']",1995,113189
The American President,"['Comedy', 'Drama', 'Romance']",1995,112346
Dracula: Dead and Loving It,"['Comedy', 'Horror']",1995,112896
Balto,"['Adventure', 'Animation', 'Children']",1995,112453
Nixon,['Drama'],1995,113987
Cutthroat Island,"['Action', 'Adventure', 'Romance']",1995,112760
Casino,"['Crime', 'Drama']",1995,112641
Sense and Sensibility,"['Drama', 'Romance']",1995,114388
Four Rooms,['Comedy'],1995,113101
Ace Ventura: When Nature Calls,['Comedy'],1995,112281
Money Train,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",1995,113845
Get Shorty,"['Comedy', 'Crime', 'Thriller']",1995,113161
Copycat,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",1995,112722
Assassins,"['Action', 'Crime', 'Thriller']",1995,112401
Powder,"['Drama', 'Sci-Fi']",1995,114168
Leaving Las Vegas,"['Drama', 'Romance']",1995,113627
Othello,['Drama'],1995,114057
Now and Then,"['Children', 'Drama']",1995,114011
Persuasion,"['Drama', 'Romance']",1995,114117
"City of Lost Children, The (Cité des enfants perdus, La)","['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",1995,112682
Shanghai Triad (Yao a yao yao dao waipo qiao),"['Crime', 'Drama']",1995,115012
Dangerous Minds,['Drama'],1995,112792
Twelve Monkeys (a.k.a. 12 Monkeys),"['Mystery', 'Sci-Fi', 'Thriller']",1995,114746
Babe,"['Children', 'Drama']",1995,112431
Dead Man Walking,"['Crime', 'Drama']",1995,112818
It Takes Two,"['Children', 'Comedy']",1995,113442
Clueless,"['Comedy', 'Romance']",1995,112697
"Cry, the Beloved Country",['Drama'],1995,112749
Richard III,"['Drama', 'War']",1995,114279
Dead Presidents,"['Action', 'Crime', 'Drama']",1995,112819
Restoration,['Drama'],1995,114272
Mortal Kombat,"['Action', 'Adventure', 'Fantasy']",1995,113855
To Die For,"['Comedy', 'Drama', 'Thriller']",1995,114681
How to Make an American Quilt,"['Drama', 'Romance']",1995,113347
Seven (a.k.a. Se7en),"['Mystery', 'Thriller']",1995,114369
Pocahontas,"['Animation', 'Children', 'Drama', 'Musical', 'Romance']",1995,114148
When Night Is Falling,"['Drama', 'Romance']",1995,114916
The Usual Suspects,"['Crime', 'Mystery', 'Thriller']",1995,114814
Mighty Aphrodite,"['Comedy', 'Drama', 'Romance']",1995,113819
Lamerica,"['Adventure', 'Drama']",1994,110299
The Big Green,"['Children', 'Comedy']",1995,112499
Georgia,['Drama'],1995,113158
Home for the Holidays,['Drama'],1995,113321
"Postman, The (Postino, Il)","['Comedy', 'Drama', 'Romance']",1994,110877
The Indian in the Cupboard,"['Adventure', 'Children', 'Fantasy']",1995,113419
Eye for an Eye,"['Drama', 'Thriller']",1996,116260
Mr. Holland's Opus,['Drama'],1995,113862
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"['Comedy', 'Crime']",1996,116126
Two if by Sea,"['Comedy', 'Romance']",1996,118002
Bio-Dome,['Comedy'],1996,115683
Lawnmower Man 2: Beyond Cyberspace,"['Action', 'Sci-Fi', 'Thriller']",1996,116839
French Twist (Gazon maudit),"['Comedy', 'Romance']",1995,113149
Friday,['Comedy'],1995,113118
From Dusk Till Dawn,"['Action', 'Comedy', 'Horror', 'Thriller']",1996,116367
Fair Game,['Action'],1995,113010
Kicking and Screaming,"['Comedy', 'Drama']",1995,113537
