imdbId,title,(no genres listed),Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,1900s,1910s,1920s,1930s,1940s,1950s,1960s,1970s,1980s,1990s,2000s,2010s,unknown
2614684,'71,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False
424755,'Hellboy': The Seeds of Creation,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False
90557,'Round Midnight,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False
355987,'Salem's Lot,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False
118523,'Til There Was You,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False
5056034,'Tis the Season for Love,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False
90556,'night Mother,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False
1022603,(500) Days of Summer,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False
92494,*batteries not included,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False
81964,...All the Marbles,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False
78718,...And Justice for All,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False
